"","country","date","E","C","TR","Y","URB"
"4288","Syrian Arab Republic",1999,967.647852511266,2.75904316912917,64.3084049166638,1297.57619656545,51.578
"4289","Syrian Arab Republic",2000,946.839747765068,2.72270309389689,65.2849861212903,1273.78379406541,51.947
"4290","Syrian Arab Republic",2001,946.956793505097,2.67389640379083,67.3681324999384,1254.78464640331,52.314
"4291","Syrian Arab Republic",2002,958.96992901605,2.57906932180985,71.6443076814108,1271.26915324035,52.682
"4292","Syrian Arab Republic",2003,939.306660997597,2.51988546481032,61.5469905405418,1328.23984066168,53.049
"4293","Syrian Arab Republic",2004,956.02622803674,2.56382338272707,78.1149285929097,1382.81588725365,53.417
"4294","Syrian Arab Republic",2005,1118.82859669976,3.07908222306419,80.1330024866606,1429.27683393839,53.782
"4295","Syrian Arab Republic",2006,1113.08346965051,3.09869144255748,74.2052265865927,1435.84587221149,54.146
"4296","Syrian Arab Republic",2007,1093.59906931385,3.07223516586119,76.3793535157197,1424.17290408089,54.511
"4297","Syrian Arab Republic",2008,1075.74185206439,3.03975601445446,74.2279600990172,1434.50245870238,54.875
"4298","Syrian Arab Republic",2009,984.618792498541,2.7807801451582,59.9438252393676,1494.72864627708,55.237
"4299","Syrian Arab Republic",2010,969.65940286324,2.7348820459958,64.0101646947258,1536.41067796278,55.6
"4300","Syrian Arab Republic",2011,875.111770482721,2.50397996404251,50.6960943456553,1552.86597632774,54.58
"4301","Syrian Arab Republic",2012,656.711173530319,2.0803450405181,35.3686903315942,1150.18931355227,53.555
"4302","Turks and Caicos Islands",1990,NA,NA,NA,NA,74.343
"4303","Turks and Caicos Islands",1991,NA,NA,NA,NA,75.537
"4304","Turks and Caicos Islands",1992,NA,NA,NA,NA,76.694
"4305","Turks and Caicos Islands",1993,NA,NA,NA,NA,77.81
"4306","Turks and Caicos Islands",1994,NA,NA,NA,NA,78.888
"4307","Turks and Caicos Islands",1995,NA,NA,NA,NA,79.928
"4308","Turks and Caicos Islands",1996,NA,NA,NA,NA,80.93
"4309","Turks and Caicos Islands",1997,NA,NA,NA,NA,81.89
"4310","Turks and Caicos Islands",1998,NA,NA,NA,NA,82.814
"4311","Turks and Caicos Islands",1999,NA,NA,NA,NA,83.7
"4312","Turks and Caicos Islands",2000,NA,NA,NA,NA,84.55
"4313","Turks and Caicos Islands",2001,NA,NA,NA,NA,85.362
"4314","Turks and Caicos Islands",2002,NA,NA,NA,NA,86.007
"4315","Turks and Caicos Islands",2003,NA,NA,NA,NA,86.608
"4316","Turks and Caicos Islands",2004,NA,NA,NA,NA,87.188
"4317","Turks and Caicos Islands",2005,NA,NA,NA,NA,87.745
"4318","Turks and Caicos Islands",2006,NA,NA,NA,NA,88.281
"4319","Turks and Caicos Islands",2007,NA,NA,NA,NA,88.797
"4320","Turks and Caicos Islands",2008,NA,NA,NA,NA,89.294
"4321","Turks and Caicos Islands",2009,NA,NA,NA,NA,89.77
"4322","Turks and Caicos Islands",2010,NA,NA,NA,NA,90.228
"4323","Turks and Caicos Islands",2011,NA,NA,NA,25240.4131944595,90.668
"4324","Turks and Caicos Islands",2012,NA,NA,NA,24009.411965321,91.09
"4325","Chad",1990,NA,0.0670319846907596,41.3870234428165,429.249144835634,20.811
"4326","Chad",1991,NA,0.0656689661837924,36.3495413219118,449.281436422037,21.023
"4327","Chad",1992,NA,0.0649698251256639,35.904560029092,465.176010804638,21.235
"4328","Chad",1993,NA,0.0635208148529531,42.6473333333747,383.259143227658,21.408
"4329","Chad",1994,NA,0.0645229984902164,50.9883513558935,412.844275733986,21.44
"4330","Chad",1995,NA,0.0635954649073809,55.6965565726313,399.999490644699,21.473
"4331","Chad",1996,NA,0.0621502658711988,46.6100331929446,391.173017427852,21.506
"4332","Chad",1997,NA,0.0626101045327031,49.313101141288,399.388141407924,21.538
"4333","Chad",1998,NA,0.0613559403381581,48.0589828951249,412.84313291428,21.571
"4334","Chad",1999,NA,0.0612261082558277,50.5078677642823,396.0118238584,21.604
"4335","Chad",2000,NA,0.035439538053431,51.5711720135652,379.351545562345,21.637
"4336","Chad",2001,NA,0.0402632499820818,64.3219080406854,409.703667294887,21.67
"4337","Chad",2002,NA,0.0454269334081888,126.350807849912,429.426972425843,21.702
"4338","Chad",2003,NA,0.0488888763235391,83.3789149599315,473.468020086493,21.735
"4339","Chad",2004,NA,0.046393078568759,101.768590921564,605.239352891445,21.768
"4340","Chad",2005,NA,0.0474961949071126,85.8467450268875,682.353871077277,21.801
"4341","Chad",2006,NA,0.0491336065572189,95.9132286345796,662.885502792176,21.834
"4342","Chad",2007,NA,0.0466392377091247,84.7310238635539,661.772362474344,21.868
"4343","Chad",2008,NA,0.0490149084610544,80.2896664151306,658.874458370746,21.901
"4344","Chad",2009,NA,0.0687796795581956,77.1094643663715,662.923250588157,21.934
"4345","Chad",2010,NA,0.104281502215225,80.3907092891162,727.524942612199,21.985
"4346","Chad",2011,NA,0.0889827102883405,80.6810748936415,703.123212684174,22.054
"4347","Chad",2012,NA,0.145593389712163,80.5756196842099,739.338362273076,22.142
"4348","Togo",1990,325.917769257423,0.252222231108939,78.8091502260223,517.352964018428,28.589
"4349","Togo",1991,324.251199496769,0.231942389069261,74.9763511711572,499.019900424393,29.005
"4350","Togo",1992,318.943534185585,0.181675648571106,63.0861816274217,465.618952086788,29.425
"4351","Togo",1993,322.637941620129,0.155232748593073,56.4784408700854,398.027267106482,29.848
"4352","Togo",1994,363.602755404128,0.221594424294314,64.8030511975782,456.071192533096,30.275
"4353","Togo",1995,365.98477509168,0.228387644915396,69.8464666590345,470.36700821915,30.705
"4354","Togo",1996,395.011519646378,0.305136235029127,77.4224272306893,492.778746018104,31.139
"4355","Togo",1997,376.878858150701,0.166291058344493,73.7805556335465,545.627485114564,31.576
"4356","Togo",1998,391.283373273718,0.253706567079014,72.9878224887194,517.774307556568,32.016
"4357","Togo",1999,434.52395992474,0.350908114950448,67.8895280769516,515.402449017534,32.46
"4358","Togo",2000,421.469897874116,0.253392797773977,68.6660318077529,497.059547621204,32.907
"4359","Togo",2001,409.246386985256,0.228960634163235,72.6030501025113,487.770964594767,33.356
"4360","Togo",2002,412.864775374143,0.254509197888948,72.8769323937738,493.384610936726,33.809
"4361","Togo",2003,424.785201109537,0.338277008249952,78.2179323340136,512.994885162155,34.265
"4362","Togo",2004,418.137618328698,0.31952027755247,81.7168437127658,494.810739320648,34.724
"4363","Togo",2005,415.252511688062,0.306061509591801,86.77530132651,459.631932049754,35.185
"4364","Togo",2006,402.910844636923,0.267200522961268,87.0059941653751,458.749470530744,35.649
"4365","Togo",2007,406.28077182496,0.248646680458507,85.8807485153984,440.367259053549,36.116
"4366","Togo",2008,411.671901983806,0.252118045500172,84.6488707196632,445.372226497546,36.587
"4367","Togo",2009,486.92250083768,0.441454287671849,85.7607678624351,457.097328075011,37.058
"4368","Togo",2010,474.027348442715,0.400206638764854,91.2036693268461,472.193116821756,37.533
"4369","Togo",2011,464.267192123132,0.372754817540399,108.106730758166,489.241828550718,38.032
"4370","Togo",2012,450.867990012466,0.322782996361148,104.410829201099,507.863015197488,38.546
"4371","Thailand",1990,759.461787873306,1.61539685824741,75.7823643645399,2608.1696577907,29.424
"4372","Thailand",1991,811.907764840432,1.74812185376917,78.4711349774175,2787.40090906522,29.593
"4373","Thailand",1992,852.277980899566,1.89592655440856,77.9546456926093,2968.31656173196,29.763
"4374","Thailand",1993,886.288914502717,2.12409176517023,77.7461171174097,3166.70572603874,29.934
"4375","Thailand",1994,966.106284574939,2.33859369756122,81.2489529938277,3371.28749865205,30.105
"4376","Thailand",1995,1042.05511116783,2.62151847155349,89.7561749368245,3595.06636667795,30.276
"4377","Thailand",1996,1149.97694112726,2.9016910770068,84.2741479979753,3748.65826535855,30.449
"4378","Thailand",1997,1156.46377382663,2.91761604383524,95.0517906464755,3598.93287101767,30.622
"4379","Thailand",1998,1071.04822386485,2.53930438045104,100.240473732828,3283.48228077168,30.795
"4380","Thailand",1999,1130.67694707581,2.62298280705603,100.706288704433,3395.26250825872,30.969
"4381","Thailand",2000,1146.17464016573,2.60821722076897,121.297955351472,3511.44210365041,31.386
"4382","Thailand",2001,1168.70833025137,2.72045394829578,120.267966273533,3599.09765887504,32.548
"4383","Thailand",2002,1280.86451836722,2.86883367189546,114.969743021067,3786.33999062372,33.734
"4384","Thailand",2003,1375.66184801892,2.96286691829113,116.692819704865,4023.81519297659,34.941
"4385","Thailand",2004,1474.40720932773,3.21828429766512,127.411873720393,4241.90407856528,36.169
"4386","Thailand",2005,1504.15369721926,3.30845184602688,137.853866832247,4385.28298316959,37.411
"4387","Thailand",2006,1522.26857776801,3.31551982617487,134.086946191268,4568.55868752301,38.673
"4388","Thailand",2007,1574.73616031088,3.36080516494936,129.873226989717,4780.30575879455,39.95
"4389","Thailand",2008,1605.58910504105,3.38021168205513,140.437011540931,4826.5795566706,41.242
"4390","Thailand",2009,1588.19498209018,3.24801993415662,119.269418854589,4758.93591726222,42.543
"4391","Thailand",2010,1726.07662148135,3.43308365639508,127.250522638251,5082.25611607225,43.856
"4392","Thailand",2011,1712.9371267783,3.39963359980752,139.675407224576,5091.9605437361,44.698
"4393","Thailand",2012,1824.7810204323,3.62473670967589,137.67493851024,5425.68786700129,45.445
"4394","Tajikistan",1990,979.676477428357,2.03368119515824,NA,1308.32392724634,31.658
"4395","Tajikistan",1991,912.608664821556,1.83065871462083,NA,1185.1481019202,31.09
"4396","Tajikistan",1992,732.501173931369,1.35889627821325,NA,826.593053562684,30.527
"4397","Tajikistan",1993,567.370946128637,0.903720762824062,70.196305829774,683.587299362709,29.972
"4398","Tajikistan",1994,428.688663132433,0.522979610761074,86.3658415841584,529.994380215969,29.421
"4399","Tajikistan",1995,376.10107074286,0.424027492096665,137.515902578797,455.386820478973,28.877
"4400","Tajikistan",1996,355.928988004507,0.371164424415137,156.670590142672,371.831246213291,28.338
"4401","Tajikistan",1997,350.005860649929,0.410889594346574,181.590119644925,373.045125568915,27.806
"4402","Tajikistan",1998,365.586696346563,0.44921270041848,106.89554276797,390.328973034403,27.28
"4403","Tajikistan",1999,361.636076202447,0.411109666026611,133.60594795539,402.62703639641,26.76
"4404","Tajikistan",2000,342.525535637027,0.35086413226977,175.351206134214,430.342167421833,26.501
"4405","Tajikistan",2001,330.919780739326,0.335483498496601,146.657305562056,461.579237753779,26.503
"4406","Tajikistan",2002,325.199277563895,0.326183111412763,138.6839688324,501.036266026475,26.505
"4407","Tajikistan",2003,324.920884131446,0.32598015853747,137.669592976856,545.253360074843,26.507
"4408","Tajikistan",2004,344.737049498883,0.381847096484681,128.338170674363,590.032751392382,26.508
"4409","Tajikistan",2005,337.718001282987,0.356638517450566,126.994699303416,617.940534895365,26.51
"4410","Tajikistan",2006,341.889249281997,0.380663350344751,141.153912074728,649.178824901052,26.512
"4411","Tajikistan",2007,358.747319114945,0.454594080928542,145.528099715723,687.064001245607,26.514
"4412","Tajikistan",2008,335.010369811323,0.415182916481617,114.480149093579,727.553292142656,26.516
"4413","Tajikistan",2009,285.502924512184,0.322035092003905,85.9781370434108,741.356173472736,26.518
"4414","Tajikistan",2010,285.493321178691,0.321040533975073,73.493044509473,773.676005959204,26.52
"4415","Tajikistan",2011,280.313646341681,0.329384665205447,79.7842446734572,813.525638549938,26.521
"4416","Tajikistan",2012,294.954415210331,0.378966218565172,83.1759445401528,855.682400942175,26.545
